(IPv6Address('2600:9000:21f8::'), 'TLV')
(IPv6Address('2600:9000:21fb::'), 'SFO')
(IPv6Address('2600:9000:21fc::'), 'ARN')
(IPv6Address('2600:9000:21fe::'), 'BOM')
(IPv6Address('2600:9000:2200::'), 'HKG')
(IPv6Address('2600:9000:2200::'), 'HKG')
(IPv6Address('2600:9000:2203::'), 'ORD')
(IPv6Address('2600:9000:2206::'), 'AMS')
(IPv6Address('2600:9000:2206::'), 'AMS')
(IPv6Address('2600:9000:2208::'), 'MAD')
(IPv6Address('2600:9000:220c::'), 'ORD')
(IPv6Address('2600:9000:220d::'), 'BOM')
(IPv6Address('2600:9000:220e::'), 'LAX')
(IPv6Address('2600:9000:220e::'), 'LAX')
(IPv6Address('2600:9000:2214::'), 'SYD')
(IPv6Address('2600:9000:2215::'), 'SYD')
(IPv6Address('2600:9000:2216::'), 'NRT')
(IPv6Address('2600:9000:2219::'), 'NRT')
(IPv6Address('2600:9000:221a::'), 'NRT')
(IPv6Address('2600:9000:2220::'), 'NRT')
(IPv6Address('2600:9000:2222::'), 'NRT')
(IPv6Address('2600:9000:2222::'), 'NRT')
(IPv6Address('2600:9000:2224::'), 'NRT')
(IPv6Address('2600:9000:2224::'), 'NRT')
(IPv6Address('2600:9000:2225::'), 'KIX')
(IPv6Address('2600:9000:2225::'), 'KIX')
(IPv6Address('2600:9000:222b::'), 'FRA')
(IPv6Address('2600:9000:222d::'), 'FRA')
(IPv6Address('2600:9000:2236::'), 'MXP')
(IPv6Address('2600:9000:2238::'), 'MXP')
(IPv6Address('2600:9000:2239::'), 'DUS')
(IPv6Address('2600:9000:223b::'), 'SIN')
(IPv6Address('2600:9000:2242::'), 'MAA')
(IPv6Address('2600:9000:2242::'), 'MAA')
(IPv6Address('2600:9000:2244::'), 'DEL')
(IPv6Address('2600:9000:2247::'), 'MXP')
(IPv6Address('2600:9000:2249::'), 'MXP')
(IPv6Address('2600:9000:224b::'), 'FRA')
(IPv6Address('2600:9000:224b::'), 'FRA')
(IPv6Address('2600:9000:224c::'), 'FRA')
(IPv6Address('2600:9000:224c::'), 'FRA')
(IPv6Address('2600:9000:224f::'), 'MUC')
(IPv6Address('2600:9000:2250::'), 'FRA')
(IPv6Address('2600:9000:2250::'), 'FRA')
(IPv6Address('2600:9000:2251::'), 'FRA')
(IPv6Address('2600:9000:2251::'), 'FRA')
(IPv6Address('2600:9000:2253::'), 'FCO')
(IPv6Address('2600:9000:2255::'), 'TXL')
(IPv6Address('2600:9000:225b::'), 'MUC')
(IPv6Address('2600:9000:225c::'), 'LHR')
(IPv6Address('2600:9000:225d::'), 'LHR')
(IPv6Address('2600:9000:225d::'), 'LHR')
(IPv6Address('2600:9000:225f::'), 'TXL')
(IPv6Address('2600:9000:2260::'), 'TXL')
(IPv6Address('2600:9000:2261::'), 'TXL')
(IPv6Address('2600:9000:2345::'), 'CGK')
(IPv6Address('2600:9000:2376::'), 'CGK')
(IPv6Address('2600:9000:2381::'), 'BAH')
(IPv6Address('2600:9000:23c5::'), 'JFK')
